distribution_sk,distribution_id,beneficiary_sk,location_sk,program_sk,time_sk,aid_type,quantity_distributed,unit_cost_usd,total_cost_usd,planned_date,actual_date,delay_days,delivery_status,transport_mode,distribution_point,staff_id,verification_method,beneficiary_confirmed,data_quality_flag,notes
1,DIST-000001,1211,6,1,848,Shelter Kit,49,250,12250,2024-04-27,2024-04-27,0,Completed,Truck,DP-10,STF-035,Biometric,1,1,
2,DIST-000002,2685,4,8,755,NFI Kit,31,85,2635,2024-01-25,2024-02-03,9,Completed,Handcarry,DP-26,STF-191,Token,1,0,
3,DIST-000003,1556,3,10,592,Medical Supplies,34,120,4080,2023-08-15,2023-08-25,10,Completed,Truck,DP-49,STF-193,Token,1,0,
4,DIST-000004,2528,13,5,945,Education Kit,2,35,70,2024-08-02,2024-08-06,4,Completed,Handcarry,DP-17,STF-148,Biometric,0,0,
5,DIST-000005,1657,8,9,20,Cash Transfer,9,100,900,2022-01-20,2022-01-23,3,In Transit,Truck,DP-21,STF-175,Voucher,1,0,
6,DIST-000006,4015,3,2,773,Shelter Kit,5,250,1250,2024-02-12,2024-02-23,11,Delayed,Handcarry,DP-23,STF-027,List-based,1,0,
7,DIST-000007,4328,12,7,837,NFI Kit,13,85,1105,2024-04-16,2024-05-04,18,Delayed,Air,DP-42,STF-034,Token,0,0,
8,DIST-000008,3385,5,10,1077,Medical Supplies,24,120,2880,2024-12-12,2024-12-17,5,Completed,Truck,DP-05,STF-037,Biometric,1,0,
9,DIST-000009,1568,3,6,713,WASH Kit,37,60,2220,2023-12-14,2023-12-14,0,Completed,Truck,DP-50,STF-147,Token,1,0,
10,DIST-000010,2376,1,6,1000,Shelter Kit,24,250,6000,2024-09-26,2024-10-03,7,Delayed,Boat,DP-21,STF-038,Biometric,1,0,
11,DIST-000011,3903,9,9,420,Food Ration,41,45,1845,2023-02-24,2023-02-27,3,Completed,Handcarry,DP-02,STF-074,Voucher,1,0,
12,DIST-000012,278,13,1,204,Shelter Kit,27,250,6750,2022-07-23,2022-08-01,9,Completed,Handcarry,DP-23,STF-037,Biometric,1,0,
13,DIST-000013,3536,5,9,1078,WASH Kit,20,60,1200,2024-12-13,2024-12-23,10,Completed,Boat,DP-46,STF-111,Token,1,0,
14,DIST-000014,2182,12,6,113,Shelter Kit,7,250,1750,2022-04-23,2022-04-23,0,Completed,Boat,DP-25,STF-128,Voucher,1,0,
15,DIST-000015,270,13,10,843,Winterization Kit,1,75,75,2024-04-22,2024-04-26,4,Partial,Handcarry,DP-10,STF-184,Voucher,1,0,
16,DIST-000016,2735,9,10,385,Cash Transfer,30,100,3000,2023-01-20,2023-01-30,10,Failed,Air,DP-04,STF-078,Token,0,0,
17,DIST-000017,60,9,4,628,Winterization Kit,26,75,1950,2023-09-20,2023-09-23,3,Completed,Air,DP-24,STF-088,Voucher,1,0,
18,DIST-000018,1919,4,9,629,NFI Kit,45,85,3825,2023-09-21,2023-09-23,2,Partial,Air,DP-22,STF-015,Token,1,0,
19,DIST-000019,1122,8,4,432,Medical Supplies,1,120,120,2023-03-08,2023-03-14,6,Completed,Boat,DP-28,STF-124,List-based,1,0,
20,DIST-000020,2677,13,10,116,Shelter Kit,6,250,1500,2022-04-26,2022-04-28,2,Completed,Truck,DP-14,STF-150,Token,1,0,
21,DIST-000021,2264,12,1,248,Shelter Kit,14,250,3500,2022-09-05,2022-09-10,5,Completed,Truck,DP-38,STF-139,Biometric,1,0,
22,DIST-000022,3350,11,10,85,Food Ration,4,45,180,2022-03-26,2022-04-14,19,Delayed,Handcarry,DP-33,STF-075,Token,1,0,
23,DIST-000023,2880,3,3,621,NFI Kit,30,85,2550,2023-09-13,2023-09-21,8,Completed,Boat,DP-30,STF-086,List-based,0,0,
24,DIST-000024,4763,5,3,601,NFI Kit,32,85,2720,2023-08-24,2023-08-24,0,Completed,Truck,DP-39,STF-054,Voucher,1,0,
25,DIST-000025,2558,14,8,836,Shelter Kit,9,250,2250,2024-04-15,2024-04-17,2,Partial,Truck,DP-28,STF-099,Biometric,1,0,
26,DIST-000026,2250,13,2,1043,Winterization Kit,5,75,375,2024-11-08,2024-11-17,9,Delayed,Truck,DP-47,STF-180,Voucher,1,0,
27,DIST-000027,1806,8,10,1022,Cash Transfer,12,100,1200,2024-10-18,2024-10-22,4,Completed,Air,DP-34,STF-099,Voucher,0,0,
28,DIST-000028,2769,2,8,470,WASH Kit,14,60,840,2023-04-15,2023-04-22,7,Completed,Air,DP-41,STF-077,Token,0,0,
29,DIST-000029,2624,1,7,446,WASH Kit,33,60,1980,2023-03-22,2023-03-28,6,Completed,Boat,DP-20,STF-162,Token,1,0,
30,DIST-000030,2006,4,1,1003,Winterization Kit,49,75,3675,2024-09-29,2024-10-04,5,Completed,Truck,DP-18,STF-172,List-based,1,1,
31,DIST-000031,3345,14,4,1074,Winterization Kit,27,75,2025,2024-12-09,2024-12-09,0,Completed,Handcarry,DP-21,STF-007,List-based,0,0,
32,DIST-000032,2981,13,6,711,Cash Transfer,3,100,300,2023-12-12,2023-12-16,4,Completed,Truck,DP-36,STF-134,Token,0,0,
33,DIST-000033,4324,6,9,177,Food Ration,5,45,225,2022-06-26,2022-07-04,8,Completed,Handcarry,DP-09,STF-152,Token,1,0,
34,DIST-000034,4154,15,7,382,Medical Supplies,42,120,5040,2023-01-17,2023-01-23,6,Completed,Air,DP-42,STF-067,Voucher,1,0,
35,DIST-000035,791,11,2,767,Education Kit,40,35,1400,2024-02-06,2024-02-13,7,Partial,Handcarry,DP-40,STF-003,List-based,1,0,
36,DIST-000036,4520,14,7,312,NFI Kit,48,85,4080,2022-11-08,2022-11-09,1,In Transit,Boat,DP-46,STF-115,Biometric,1,0,
37,DIST-000037,864,3,8,507,Food Ration,45,45,2025,2023-05-22,2023-05-25,3,Completed,Air,DP-22,STF-116,List-based,1,0,
38,DIST-000038,1662,4,1,371,Shelter Kit,33,250,8250,2023-01-06,2023-01-11,5,Delayed,Boat,DP-27,STF-183,List-based,1,1,
39,DIST-000039,645,8,3,168,Food Ration,42,45,1890,2022-06-17,2022-07-03,16,Delayed,Air,DP-50,STF-018,Biometric,0,0,
40,DIST-000040,546,14,1,932,Winterization Kit,35,75,2625,2024-07-20,2024-07-23,3,In Transit,Boat,DP-02,STF-175,List-based,1,1,
41,DIST-000041,895,10,4,741,Cash Transfer,15,100,1500,2024-01-11,2024-01-13,2,In Transit,Boat,DP-19,STF-114,Biometric,0,0,
42,DIST-000042,176,4,6,212,WASH Kit,18,60,1080,2022-07-31,2022-08-18,18,Delayed,Handcarry,DP-17,STF-193,Token,1,0,
43,DIST-000043,4812,12,3,788,Shelter Kit,13,250,3250,2024-02-27,2024-02-28,1,Completed,Air,DP-06,STF-076,List-based,1,0,
