funding_sk,funding_id,donor_sk,program_sk,location_sk,time_sk,pledged_amount_usd,received_amount_usd,utilised_amount_usd,balance_usd,utilisation_rate_pct,funding_type,grant_code,reporting_deadline,compliance_status,budget_code,fiscal_year,currency,exchange_rate
1,FND-00001,2,10,14,760,1687470.52,668791.25,452820.58,215970.67,67.7,In-Kind,GRT-96073,2024-11-29,Compliant,BC-206,2023,USD,1.0
2,FND-00002,5,8,8,216,1517251.74,1308098.7,807733.39,500365.31,61.7,Loan,GRT-96675,2023-04-27,Compliant,BC-984,2022,USD,1.0
3,FND-00003,5,1,4,1070,439195.15,243621.59,139896.92,103724.67,57.4,In-Kind,GRT-49777,2025-08-14,Compliant,BC-299,2024,USD,1.0
4,FND-00004,7,3,10,718,1148493.12,641410.52,397748.75,243661.77,62.0,Loan,GRT-83744,2024-04-15,At Risk,BC-276,2023,USD,1.0
5,FND-00005,2,2,13,478,630628.2,193633.23,176580.88,17052.35,91.2,Loan,GRT-94139,2024-04-20,Compliant,BC-515,2022,USD,1.0
6,FND-00006,2,4,15,349,905789.35,862444.92,675377.87,187067.05,78.3,Grant,GRT-60661,2023-12-09,Compliant,BC-528,2022,USD,1.0
7,FND-00007,7,2,4,747,810775.25,706878.1,666169.65,40708.45,94.2,Pooled,GRT-34984,2024-12-12,Compliant,BC-912,2023,USD,1.0
8,FND-00008,6,8,13,259,1243447.25,580908.77,305995.12,274913.65,52.7,Grant,GRT-12281,2023-06-28,Compliant,BC-671,2022,USD,1.0
9,FND-00009,2,7,11,879,849313.38,773410.97,661677.66,111733.31,85.6,Grant,GRT-48644,2025-03-18,Compliant,BC-507,2023,USD,1.0
10,FND-00010,8,9,10,363,950744.81,491606.07,335453.92,156152.15,68.2,Grant,GRT-73525,2023-09-26,Compliant,BC-616,2022,USD,1.0
11,FND-00011,6,1,6,282,1998805.17,1782951.25,1414180.47,368770.78,79.3,Grant,GRT-46742,2023-06-13,Compliant,BC-884,2022,USD,1.0
12,FND-00012,3,5,2,994,1865781.85,706476.87,609023.99,97452.88,86.2,Loan,GRT-74624,2025-02-24,Compliant,BC-132,2024,USD,1.0
13,FND-00013,2,7,5,1011,1226721.81,802907.36,766171.04,36736.32,95.4,Loan,GRT-54948,2025-06-13,Compliant,BC-405,2024,USD,1.0
14,FND-00014,6,7,15,426,635941.67,530764.49,427960.82,102803.67,80.6,In-Kind,GRT-20396,2023-12-16,Compliant,BC-411,2022,USD,1.0
15,FND-00015,9,10,1,1039,412719.36,238410.67,163912.37,74498.3,68.8,Loan,GRT-72654,2025-04-05,Compliant,BC-389,2024,USD,1.0
16,FND-00016,4,1,14,855,548888.36,268415.69,215209.6,53206.09,80.2,In-Kind,GRT-82175,2024-10-10,At Risk,BC-662,2023,USD,1.0
17,FND-00017,3,1,4,580,1867797.45,1373467.76,1151738.53,221729.23,83.9,In-Kind,GRT-12752,2024-01-26,Non-Compliant,BC-440,2023,USD,1.0
18,FND-00018,5,2,15,3,86455.8,51898.38,49799.8,2098.58,96.0,Grant,GRT-71485,2022-08-04,At Risk,BC-884,2021,USD,1.0
19,FND-00019,4,7,9,722,1669388.04,979988.78,615262.3,364726.48,62.8,Loan,GRT-69312,2024-11-14,Compliant,BC-893,2023,USD,1.0
20,FND-00020,2,10,1,526,292655.63,94271.9,88767.23,5504.67,94.2,Pooled,GRT-65039,2024-02-15,Compliant,BC-641,2022,USD,1.0
21,FND-00021,9,4,15,431,1456103.52,921364.71,525264.54,396100.17,57.0,Pooled,GRT-55026,2023-12-19,Compliant,BC-378,2022,USD,1.0
22,FND-00022,6,10,8,906,1956048.82,623347.31,468831.87,154515.44,75.2,Grant,GRT-54992,2025-01-10,Compliant,BC-686,2023,USD,1.0
23,FND-00023,6,4,13,927,1868296.48,879840.19,748851.79,130988.4,85.1,In-Kind,GRT-20973,2025-02-02,Compliant,BC-612,2024,USD,1.0
24,FND-00024,3,10,5,617,703163.55,531666.31,382821.52,148844.79,72.0,Grant,GRT-18524,2024-05-17,At Risk,BC-727,2023,USD,1.0
